ID,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Number of Languages,Number of Genres,In-App Purchase Present
1163805393,4.5,2009.0,0.0,"4.99, 19.99, 0.99, 4.99, 4.99, 19.99, 4.99, 9.99, 49.99, 49.99",9+,"EN, FR, DE, IT, JA, KO, PT, RU, ES",251348992.0,"Games, Role Playing, Strategy",9,3,N
1164046790,4.5,4182.0,0.0,"4.99, 2.99, 2.99, 3.99, 2.99, 9.99, 4.99, 6.99, 3.99, 0.99",9+,EN,144761856.0,"Games, Simulation, Strategy",1,3,N
1164507836,4.5,59993.0,0.0,"4.99, 1.99, 4.99, 1.99, 9.99, 3.99, 1.99, 4.99, 5.99, 4.99",4+,"NL, EN, FR, DE, IT, PT, RU, ES, SV",814529536.0,"Games, Simulation, Entertainment, Strategy",9,4,N
1164815902,4.5,820.0,0.0,"9.99, 4.99, 1.99, 24.99, 0.99, 9.99, 0.99, 4.99, 49.99, 49.99",4+,"EN, FR, DE, KO, RU, ZH, ES, ZH, UK",465463296.0,"Games, Entertainment, Strategy, Action",9,4,N
1165098158,3.5,578.0,0.0,"4.99, 0.99, 19.99, 4.99, 19.99, 4.99, 19.99, 19.99, 99.99, 4.99",9+,EN,295038976.0,"Games, Strategy, Role Playing, Entertainment",1,4,N
1167490395,4.0,1499.0,0.0,"9.99, 1.99, 1.99, 4.99, 19.99, 4.99, 9.99, 9.99, 1.99, 4.99",4+,EN,644030464.0,"Games, Sports, Sports, Strategy",1,4,N
1168563046,4.5,9116.0,0.0,"9.99, 4.99, 1.99, 0.99, 24.99, 9.99, 49.99, 99.99, 9.99, 9.99",9+,"EN, FR, DE, IT, JA, KO, PT, ZH, ES, TH, ZH, TR, VI",151535616.0,"Games, Action, Strategy",13,3,N
1170052487,5.0,644.0,0.0,"19.99, 9.99, 4.99, 2.99, 4.99, 4.99, 99.99, 9.99, 49.99, 4.99",4+,"ZH, EN, FR, DE, JA, PT, RU, ES, VI",133042176.0,"Games, Entertainment, Role Playing, Strategy",9,4,N
1173388413,4.5,3248.0,0.0,"0.99, 9.99, 4.99, 19.99, 49.99, 99.99",12+,"AR, BN, BG, CA, ZH, HR, CS, DA, NL, EN, FI, FR, DE, EL, GU, HE, HI, HU, ID, IT, JA, KN, KO, LV, MS, ML, MR, NB, FA, PL, PT, PA, RO, RU, ZH, SK, SL, ES, SV, TA, TE, TH, ZH, TR, UK, VI",1095554048.0,"Games, Action, Strategy",46,3,N
1174204073,4.0,1907.0,0.0,"0.99, 4.99, 19.99, 9.99, 99.99, 24.99, 49.99",12+,"AR, BN, BG, CA, HR, CS, DA, NL, EN, FI, FR, DE, EL, GU, HE, HI, HU, ID, IT, JA, KN, KO, LV, MS, ML, MR, NB, FA, PL, PT, PA, RO, RU, ZH, SK, SL, ES, SV, TA, TE, TH, ZH, TR, UK, VI",289563648.0,"Games, Simulation, Strategy",45,3,N
